start;end;approve;disapprove;neutral
2009-08-24;2009-08-30;50;43;7
2009-08-17;2009-08-23;52;41;7
2009-08-10;2009-08-16;54;40;6
2009-08-03;2009-08-09;56;37;7
2009-07-27;2009-08-02;54;39;7
2009-07-20;2009-07-26;56;38;6
2009-07-13;2009-07-19;59;33;8
2009-07-06;2009-07-12;58;34;8
2009-06-29;2009-07-05;60;32;8
2009-06-22;2009-06-28;60;33;7
2009-06-15;2009-06-21;59;34;7
2009-06-08;2009-06-14;61;31;8
2009-06-01;2009-06-07;62;31;7
2009-05-25;2009-05-31;63;30;7
2009-05-18;2009-05-24;64;28;8
2009-05-11;2009-05-17;64;29;7
2009-05-04;2009-05-10;66;27;7
2009-04-27;2009-05-03;65;29;6
2009-04-20;2009-04-26;65;29;6
2009-04-13;2009-04-19;62;29;9
2009-04-06;2009-04-12;61;28;11
2009-03-30;2009-04-05;62;28;10
2009-03-23;2009-03-29;61;29;10
2009-03-16;2009-03-22;63;26;11
2009-03-09;2009-03-15;62;28;10
2009-03-02;2009-03-08;62;27;11
2009-02-23;2009-03-01;64;23;13
2009-02-16;2009-02-22;62;25;13
2009-02-09;2009-02-15;64;22;14
2009-02-02;2009-02-08;65;21;14
2009-01-26;2009-02-01;66;18;16
2009-01-09;2009-01-11;34;61;5
2008-12-12;2008-12-14;29;67;4
2008-12-04;2008-12-07;32;61;7
2008-11-13;2008-11-16;29;66;5
2008-11-07;2008-11-09;28;68;4
2008-10-31;2008-11-02;25;70;5
2008-10-23;2008-10-26;31;66;3
2008-10-10;2008-10-12;25;71;4
2008-10-03;2008-10-05;25;70;5
2008-09-26;2008-09-27;27;69;4
2008-09-08;2008-09-11;31;65;4
2008-09-05;2008-09-07;33;64;3
2008-08-21;2008-08-23;29;66;5
2008-08-07;2008-08-10;33;61;6
2008-07-25;2008-07-27;32;65;3
2008-07-10;2008-07-13;31;61;8
2008-06-15;2008-06-19;28;68;4
2008-06-09;2008-06-12;30;64;6
2008-05-30;2008-06-01;28;68;4
2008-05-08;2008-05-11;29;65;6
2008-05-01;2008-05-03;28;67;5
2008-04-18;2008-04-20;28;69;3
2008-04-06;2008-04-09;28;67;5
2008-03-14;2008-03-16;32;64;4
2008-03-06;2008-03-09;32;64;4
2008-02-21;2008-02-24;32;62;6
2008-02-11;2008-02-14;31;65;4
2008-02-08;2008-02-10;33;61;6
2008-01-30;2008-02-02;34;61;5
2008-01-10;2008-01-13;34;60;6
2008-01-04;2008-01-06;32;64;4
2007-12-14;2007-12-16;32;65;3
2007-12-06;2007-12-09;37;57;6
2007-11-30;2007-12-02;34;62;4
2007-11-11;2007-11-14;32;61;7
2007-11-02;2007-11-04;31;64;5
2007-10-12;2007-10-14;32;64;4
2007-10-04;2007-10-07;32;64;4
2007-09-14;2007-09-16;36;62;2
2007-09-07;2007-09-08;33;62;5
2007-08-13;2007-08-16;32;63;5
2007-08-03;2007-08-05;34;62;4
2007-07-12;2007-07-15;31;63;6
2007-07-06;2007-07-08;29;66;5
2007-06-11;2007-06-14;32;65;3
2007-06-01;2007-06-03;32;62;6
2007-05-10;2007-05-13;33;62;5
2007-05-04;2007-05-06;34;63;3
2007-04-13;2007-04-15;36;60;4
2007-04-02;2007-04-05;38;58;4
2007-03-23;2007-03-25;34;62;4
2007-03-11;2007-03-14;35;61;4
2007-03-02;2007-03-04;33;63;4
2007-02-09;2007-02-11;37;59;4
2007-02-01;2007-02-04;32;65;3
2007-01-15;2007-01-18;36;61;3
2007-01-12;2007-01-14;34;63;3
2007-01-05;2007-01-07;37;59;4
2006-12-11;2006-12-14;35;61;4
2006-12-08;2006-12-10;38;59;3
2006-11-09;2006-11-12;37;62;1
2006-11-02;2006-11-05;38;56;6
2006-10-20;2006-10-22;37;58;5
2006-10-09;2006-10-12;37;57;6
2006-10-06;2006-10-08;37;59;4
2006-09-15;2006-09-17;44;51;5
2006-09-07;2006-09-10;39;56;5
2006-08-18;2006-08-20;42;54;4
2006-08-07;2006-08-10;37;59;4
2006-07-28;2006-07-30;40;56;4
2006-07-21;2006-07-23;37;59;4
2006-07-06;2006-07-09;40;55;5
2006-06-23;2006-06-25;37;60;3
2006-06-09;2006-06-11;38;56;6
2006-06-01;2006-06-04;36;57;7
2006-05-08;2006-05-11;33;61;6
2006-05-05;2006-05-07;31;61;8
2006-04-28;2006-04-30;34;65;1
2006-04-10;2006-04-13;36;63;1
2006-04-07;2006-04-09;37;60;3
2006-03-13;2006-03-16;37;59;4
2006-03-10;2006-03-12;36;60;4
2006-02-28;2006-03-01;38;60;2
2006-02-09;2006-02-12;39;56;5
2006-02-06;2006-02-09;42;55;3
2006-01-20;2006-01-22;43;54;3
2006-01-09;2006-01-12;43;53;4
2006-01-06;2006-01-08;43;54;3
2005-12-19;2005-12-22;43;53;4
2005-12-16;2005-12-18;41;56;3
2005-12-09;2005-12-11;42;55;3
2005-12-05;2005-12-08;43;52;5
2005-11-17;2005-11-20;38;57;5
2005-11-11;2005-11-13;37;60;3
2005-11-07;2005-11-10;40;55;5
2005-10-28;2005-10-30;41;56;3
2005-10-21;2005-10-23;42;55;3
2005-10-13;2005-10-16;39;58;3
2005-09-26;2005-09-28;44;50;6
2005-09-16;2005-09-18;40;58;2
2005-09-12;2005-09-15;45;52;3
2005-09-08;2005-09-11;46;51;3
2005-08-28;2005-08-30;45;52;3
2005-08-22;2005-08-25;40;58;2
2005-08-08;2005-08-11;45;51;4
2005-08-05;2005-08-07;45;51;4
2005-07-25;2005-07-28;44;51;5
2005-07-22;2005-07-24;49;48;3
2005-07-07;2005-07-10;49;48;3
2005-06-29;2005-06-30;46;51;3
2005-06-24;2005-06-26;45;53;2
2005-06-16;2005-06-19;47;51;2
2005-06-06;2005-06-08;47;49;4
2005-05-23;2005-05-26;48;47;5
2005-05-20;2005-05-22;46;50;4
2005-05-02;2005-05-05;50;45;5
2005-04-29;2005-05-01;48;49;3
2005-04-18;2005-04-21;48;49;3
2005-04-04;2005-04-07;50;45;5
2005-04-01;2005-04-02;48;48;4
2005-03-21;2005-03-23;45;49;6
2005-03-18;2005-03-20;52;44;4
2005-03-07;2005-03-10;52;44;4
2005-02-25;2005-02-27;52;45;3
2005-02-21;2005-02-24;51;45;4
2005-02-07;2005-02-10;49;48;3
2005-02-04;2005-02-06;57;40;3
2005-01-14;2005-01-16;51;46;3
2005-01-07;2005-01-09;52;44;4
2005-01-03;2005-01-05;52;44;4
2004-12-17;2004-12-19;49;46;5
2004-12-05;2004-12-08;53;44;3
2004-11-19;2004-11-21;55;42;3
2004-11-07;2004-11-10;53;44;3
2004-10-29;2004-10-31;48;47;5
2004-10-22;2004-10-24;51;46;3
2004-10-14;2004-10-16;51;47;2
2004-10-11;2004-10-14;48;49;3
2004-10-09;2004-10-10;47;49;4
2004-10-01;2004-10-03;50;48;2
2004-09-24;2004-09-26;54;44;2
2004-09-13;2004-09-15;52;45;3
2004-09-03;2004-09-05;52;46;2
2004-08-23;2004-08-25;49;47;4
2004-08-09;2004-08-11;51;46;3
2004-07-30;2004-08-01;48;49;3
2004-07-19;2004-07-21;49;47;4
2004-07-08;2004-07-11;47;49;4
2004-06-21;2004-06-23;48;49;3
2004-06-03;2004-06-06;49;49;2
2004-05-21;2004-05-23;47;49;4
2004-05-07;2004-05-09;46;51;3
2004-05-02;2004-05-04;49;48;3
2004-04-16;2004-04-18;52;45;3
2004-04-05;2004-04-08;52;45;3
2004-03-26;2004-03-28;53;44;3
2004-03-08;2004-03-11;50;47;3
2004-03-05;2004-03-07;49;48;3
2004-02-16;2004-02-17;51;46;3
2004-02-09;2004-02-12;51;46;3
2004-02-06;2004-02-08;52;44;4
2004-01-29;2004-02-01;49;48;3
2004-01-12;2004-01-15;53;44;3
2004-01-09;2004-01-11;59;38;3
2004-01-02;2004-01-05;60;35;5
2003-12-15;2003-12-16;63;34;3
2003-12-11;2003-12-14;56;41;3
2003-12-05;2003-12-07;55;43;2
2003-11-14;2003-11-16;50;47;3
2003-11-10;2003-11-12;51;45;4
2003-11-03;2003-11-05;54;43;3
2003-10-24;2003-10-26;53;42;5
2003-10-10;2003-10-12;56;40;4
2003-10-06;2003-10-08;55;42;3
2003-09-19;2003-09-21;50;47;3
2003-09-08;2003-09-10;52;43;5
2003-08-25;2003-08-26;59;37;4
2003-08-04;2003-08-06;60;36;4
2003-07-25;2003-07-27;58;38;4
2003-07-18;2003-07-20;59;38;3
2003-07-07;2003-07-09;62;34;4
2003-06-27;2003-06-29;61;36;3
2003-06-12;2003-06-15;63;33;4
2003-06-09;2003-06-10;62;34;4
2003-05-30;2003-06-01;64;32;4
2003-05-19;2003-05-21;66;30;4
2003-05-05;2003-05-07;69;28;3
2003-04-22;2003-04-23;70;26;4
2003-04-14;2003-04-16;71;24;5
2003-04-07;2003-04-09;69;26;5
2003-04-05;2003-04-06;70;27;3
2003-03-29;2003-03-30;71;26;3
2003-03-24;2003-03-25;69;27;4
2003-03-22;2003-03-23;71;25;4
2003-03-14;2003-03-15;58;38;4
2003-03-03;2003-03-05;57;37;6
2003-02-24;2003-02-26;57;37;6
2003-02-17;2003-02-19;58;37;5
2003-02-07;2003-02-09;61;34;5
2003-02-03;2003-02-06;59;35;6
2003-01-31;2003-02-02;61;35;4
2003-01-23;2003-01-25;60;36;4
2003-01-20;2003-01-22;58;36;6
2003-01-13;2003-01-16;61;34;5
2003-01-10;2003-01-12;58;37;5
2003-01-03;2003-01-05;63;32;5
2002-12-19;2002-12-22;61;32;7
2002-12-16;2002-12-17;63;33;4
2002-12-09;2002-12-10;63;32;5
2002-12-05;2002-12-08;64;29;7
2002-11-22;2002-11-24;65;28;7
2002-11-11;2002-11-14;66;26;8
2002-11-08;2002-11-10;68;27;5
2002-10-31;2002-11-03;63;29;8
2002-10-21;2002-10-22;67;28;5
2002-10-14;2002-10-17;62;31;7
2002-10-03;2002-10-06;67;28;5
2002-09-23;2002-09-26;68;26;6
2002-09-20;2002-09-22;66;30;4
2002-09-13;2002-09-16;70;26;4
2002-09-05;2002-09-08;66;30;4
2002-09-02;2002-09-04;66;29;5
2002-08-19;2002-08-21;65;28;7
2002-08-05;2002-08-08;68;26;6
2002-07-29;2002-07-31;71;23;6
2002-07-26;2002-07-28;69;26;5
2002-07-22;2002-07-24;69;24;7
2002-07-09;2002-07-11;73;21;6
2002-07-05;2002-07-08;76;18;6
2002-06-28;2002-06-30;76;19;5
2002-06-21;2002-06-23;73;21;6
2002-06-17;2002-06-19;74;20;6
2002-06-07;2002-06-08;74;18;8
2002-06-03;2002-06-06;70;23;7
2002-05-28;2002-05-29;77;17;6
2002-05-20;2002-05-22;76;17;7
2002-05-06;2002-05-09;76;19;5
2002-04-29;2002-05-01;77;20;3
2002-04-22;2002-04-24;77;17;6
2002-04-08;2002-04-11;75;20;5
2002-04-05;2002-04-07;76;19;5
2002-03-22;2002-03-24;79;17;4
2002-03-18;2002-03-20;79;16;5
2002-03-08;2002-03-09;80;14;6
2002-03-04;2002-03-07;77;18;5
2002-03-01;2002-03-03;81;14;5
2002-02-08;2002-02-10;82;14;4
2002-02-04;2002-02-06;82;14;4
2002-01-25;2002-01-27;84;13;3
2002-01-11;2002-01-14;83;13;4
2002-01-07;2002-01-09;84;12;4
2001-12-14;2001-12-16;86;11;3
2001-12-06;2001-12-09;86;10;4
2001-11-26;2001-11-27;87;8;5
2001-11-08;2001-11-11;87;9;4
2001-11-02;2001-11-04;87;9;4
2001-10-19;2001-10-21;88;9;3
2001-10-11;2001-10-14;89;8;3
2001-10-05;2001-10-06;87;10;3
2001-09-21;2001-09-22;90;6;4
2001-09-14;2001-09-15;86;10;4
2001-09-07;2001-09-10;51;39;10
2001-08-24;2001-08-26;55;36;9
2001-08-16;2001-08-19;57;34;9
2001-08-10;2001-08-12;57;35;8
2001-08-03;2001-08-05;55;35;10
2001-07-19;2001-07-22;56;33;11
2001-07-10;2001-07-11;57;35;8
2001-06-28;2001-07-01;52;34;14
2001-06-11;2001-06-17;55;33;12
2001-06-08;2001-06-10;55;35;10
2001-05-18;2001-05-20;56;36;8
2001-05-10;2001-05-14;56;31;13
2001-05-07;2001-05-09;53;33;14
2001-04-20;2001-04-22;62;29;9
2001-04-06;2001-04-08;59;30;11
2001-03-26;2001-03-28;53;29;18
2001-03-09;2001-03-11;58;29;13
2001-03-05;2001-03-07;63;22;15
2001-02-19;2001-02-21;62;21;17
2001-02-09;2001-02-11;57;25;18
2001-02-01;2001-02-04;57;25;18
2001-01-10;2001-01-14;66;29;5
2001-01-05;2001-01-07;65;31;4
2000-12-15;2000-12-17;66;32;2
2000-12-02;2000-12-04;60;35;5
2000-11-13;2000-11-15;63;33;4
2000-10-25;2000-10-28;57;38;5
2000-10-06;2000-10-09;58;37;5
2000-09-11;2000-09-13;60;34;6
2000-08-29;2000-09-03;62;35;3
2000-08-18;2000-08-19;62;35;3
2000-08-11;2000-08-12;58;39;3
2000-08-04;2000-08-05;57;40;3
2000-07-25;2000-07-26;57;39;4
2000-07-14;2000-07-16;59;37;4
2000-07-06;2000-07-09;59;36;5
2000-06-22;2000-06-25;55;40;5
2000-06-06;2000-06-07;60;36;4
2000-05-18;2000-05-21;57;37;6
2000-05-04;2000-05-07;57;36;7
2000-04-28;2000-04-30;59;39;2
2000-03-30;2000-04-02;62;34;4
2000-03-17;2000-03-19;56;39;5
2000-03-10;2000-03-12;63;34;3
2000-02-25;2000-02-27;57;39;4
2000-02-14;2000-02-15;62;34;4
2000-02-04;2000-02-06;63;33;4
2000-01-25;2000-01-26;64;32;4
2000-01-17;2000-01-20;62;35;3
2000-01-13;2000-01-16;59;37;4
2000-01-07;2000-01-10;63;35;2
1999-12-20;1999-12-21;57;36;7
1999-12-09;1999-12-12;56;41;3
1999-11-18;1999-11-21;59;36;5
1999-11-04;1999-11-07;58;38;4
1999-10-21;1999-10-24;59;36;5
1999-10-08;1999-10-10;56;39;5
1999-09-23;1999-09-26;59;38;3
1999-09-10;1999-09-14;60;38;2
1999-08-24;1999-08-26;60;35;5
1999-08-16;1999-08-18;59;36;5
1999-08-03;1999-08-04;60;35;5
1999-07-22;1999-07-25;64;31;5
1999-07-16;1999-07-18;58;38;4
1999-07-13;1999-07-14;59;37;4
1999-06-25;1999-06-27;57;41;2
1999-06-11;1999-06-13;60;37;3
1999-06-04;1999-06-05;60;35;5
1999-05-23;1999-05-24;53;42;5
1999-05-07;1999-05-09;60;35;5
1999-04-30;1999-05-02;60;36;4
1999-04-26;1999-04-27;60;35;5
1999-04-13;1999-04-14;60;36;4
1999-04-06;1999-04-07;59;35;6
1999-03-30;1999-03-31;64;32;4
1999-03-19;1999-03-21;64;33;3
1999-03-12;1999-03-14;62;35;3
1999-03-05;1999-03-07;68;28;4
1999-02-26;1999-02-28;66;31;3
1999-02-19;1999-02-21;66;30;4
1999-02-12;1999-02-13;68;30;2
1999-02-04;1999-02-08;65;33;2
1999-01-22;1999-01-24;69;29;2
1999-01-15;1999-01-17;69;29;2
1999-01-08;1999-01-10;67;30;3
1998-12-19;1998-12-20;73;25;2
1998-12-15;1998-12-16;63;33;4
1998-12-12;1998-12-13;64;34;2
1998-12-04;1998-12-06;66;30;4
1998-11-20;1998-11-22;66;30;4
1998-11-13;1998-11-15;66;31;3
1998-10-29;1998-11-01;66;30;4
1998-10-23;1998-10-25;65;32;3
1998-10-09;1998-10-12;65;32;3
1998-10-06;1998-10-07;63;34;3
1998-09-23;1998-09-24;66;31;3
1998-09-14;1998-09-15;63;35;2
1998-09-11;1998-09-12;63;34;3
1998-08-21;1998-08-23;62;35;3
1998-08-10;1998-08-12;65;30;5
1998-08-07;1998-08-08;64;32;4
1998-07-13;1998-07-14;63;31;6
1998-07-07;1998-07-08;61;34;5
1998-06-22;1998-06-23;60;34;6
1998-06-05;1998-06-07;60;34;6
1998-05-08;1998-05-10;64;31;5
1998-04-17;1998-04-19;63;31;6
1998-03-20;1998-03-22;66;28;6
1998-03-06;1998-03-09;63;31;6
1998-02-20;1998-02-22;66;29;5
1998-02-13;1998-02-15;66;30;4
1998-01-30;1998-02-01;69;28;3
1998-01-25;1998-01-26;59;37;4
1998-01-23;1998-01-24;58;36;6
1998-01-16;1998-01-18;60;30;10
1998-01-06;1998-01-07;59;32;9
1997-12-18;1997-12-21;56;36;8
1997-11-21;1997-11-23;61;30;9
1997-11-06;1997-11-09;59;31;10
1997-10-27;1997-10-29;59;32;9
1997-10-03;1997-10-05;55;36;9
1997-09-25;1997-09-28;58;33;9
1997-09-06;1997-09-07;61;28;11
1997-08-22;1997-08-25;60;34;6
1997-08-12;1997-08-13;61;32;7
1997-07-25;1997-07-27;58;34;8
1997-06-26;1997-06-29;55;36;9
1997-05-30;1997-06-01;57;35;8
1997-05-06;1997-05-07;57;35;8
1997-04-18;1997-04-20;54;37;9
1997-03-24;1997-03-26;59;35;6
1997-02-24;1997-02-26;57;33;10
1997-01-30;1997-02-02;60;31;9
1997-01-10;1997-01-13;62;31;7
1997-01-03;1997-01-05;58;35;7
1996-12-09;1996-12-11;58;34;8
1996-11-21;1996-11-24;58;35;7
1996-10-26;1996-10-29;54;36;10
1996-10-02;1996-10-03;57;36;7
1996-10-01;1996-10-02;58;34;8
1996-09-07;1996-09-09;60;31;9
1996-08-30;1996-09-01;60;33;7
1996-08-23;1996-08-25;53;39;8
1996-08-16;1996-08-18;52;39;9
1996-08-05;1996-08-07;57;36;7
1996-07-25;1996-07-28;58;35;7
1996-07-18;1996-07-21;57;35;8
1996-06-27;1996-06-30;52;42;6
1996-06-18;1996-06-19;58;37;5
1996-05-28;1996-05-29;53;38;9
1996-05-09;1996-05-12;55;39;6
1996-04-25;1996-04-28;56;37;7
1996-04-09;1996-04-10;54;40;6
1996-03-15;1996-03-17;52;39;9
1996-03-08;1996-03-10;54;37;9
1996-02-23;1996-02-25;53;40;7
1996-01-26;1996-01-29;52;42;6
1996-01-12;1996-01-15;46;47;7
1996-01-05;1996-01-07;42;49;9
1995-12-15;1995-12-18;51;44;5
1995-11-17;1995-11-18;53;38;9
1995-11-06;1995-11-08;52;41;7
1995-10-19;1995-10-22;49;40;11
1995-10-05;1995-10-07;46;42;12
1995-09-22;1995-09-24;48;44;8
1995-09-14;1995-09-17;44;44;12
1995-08-28;1995-08-30;46;43;11
1995-08-11;1995-08-14;46;44;10
1995-08-04;1995-08-07;46;42;12
1995-07-20;1995-07-23;46;44;10
1995-07-07;1995-07-09;48;42;10
1995-06-05;1995-06-06;47;42;11
1995-05-11;1995-05-14;51;42;7
1995-04-21;1995-04-24;51;39;10
1995-04-17;1995-04-19;46;45;9
1995-04-05;1995-04-06;47;45;8
1995-03-27;1995-03-29;44;47;9
1995-03-17;1995-03-19;46;45;9
1995-02-24;1995-02-26;42;48;10
1995-02-03;1995-02-05;49;44;7
1995-01-16;1995-01-18;47;45;8
1994-12-28;1994-12-30;40;52;8
1994-12-16;1994-12-18;42;53;5
1994-12-02;1994-12-05;42;50;8
1994-11-28;1994-11-29;43;49;8
1994-11-02;1994-11-06;46;46;8
1994-10-22;1994-10-25;48;46;6
1994-10-18;1994-10-19;41;52;7
1994-10-07;1994-10-09;42;52;6
1994-09-23;1994-09-25;43;51;6
1994-09-16;1994-09-18;42;50;8
1994-09-06;1994-09-07;39;54;7
1994-08-15;1994-08-16;39;52;9
1994-08-08;1994-08-09;43;48;9
1994-07-15;1994-07-17;42;49;9
1994-07-01;1994-07-03;43;48;9
1994-06-25;1994-06-28;44;47;9
1994-06-11;1994-06-12;49;44;7
1994-06-03;1994-06-06;46;47;7
1994-05-20;1994-05-22;51;42;7
1994-04-22;1994-04-24;48;44;8
1994-04-16;1994-04-18;51;41;8
1994-03-28;1994-03-30;51;42;7
1994-03-25;1994-03-27;52;41;7
1994-03-11;1994-03-13;50;41;9
1994-03-07;1994-03-08;50;42;8
1994-02-26;1994-02-28;53;41;6
1994-01-28;1994-01-30;58;35;7
1994-01-15;1994-01-17;54;38;8
1994-01-06;1994-01-08;54;38;8
1993-12-17;1993-12-19;54;40;6
1993-12-04;1993-12-06;52;38;10
1993-11-19;1993-11-21;48;43;9
1993-11-15;1993-11-16;50;43;7
1993-11-02;1993-11-04;48;45;7
1993-10-28;1993-10-30;48;45;7
1993-10-13;1993-10-18;47;44;9
1993-10-08;1993-10-10;50;42;8
1993-09-24;1993-09-26;56;36;8
1993-09-13;1993-09-15;46;43;11
1993-09-10;1993-09-12;47;42;11
1993-08-23;1993-08-25;44;47;9
1993-08-08;1993-08-10;44;48;8
1993-07-19;1993-07-21;41;49;10
1993-07-09;1993-07-11;45;48;7
1993-06-29;1993-06-30;46;47;7
1993-06-18;1993-06-21;39;50;11
1993-06-05;1993-06-06;37;49;14
1993-05-21;1993-05-23;44;46;10
1993-05-10;1993-05-12;45;44;11
1993-04-22;1993-04-24;55;37;8
1993-03-29;1993-03-31;52;37;11
1993-03-12;1993-03-14;53;34;13
1993-02-26;1993-02-28;59;29;12
1993-02-12;1993-02-14;51;34;15
1993-01-29;1993-01-31;54;30;16
1993-01-24;1993-01-26;58;20;22
