DATE,GDPC1_PC1
1948-01-01,4.11330
1949-01-01,-0.56417
1950-01-01,8.68651
1951-01-01,8.04580
1952-01-01,4.08852
1953-01-01,4.68818
1954-01-01,-0.57841
1955-01-01,7.13334
1956-01-01,2.13116
1957-01-01,2.10561
1958-01-01,-0.74080
1959-01-01,6.93473
1960-01-01,2.57344
1961-01-01,2.56369
1962-01-01,6.12709
1963-01-01,4.35505
1964-01-01,5.76126
1965-01-01,6.49774
1966-01-01,6.59601
1967-01-01,2.74251
1968-01-01,4.91560
1969-01-01,3.12484
1970-01-01,0.18605
1971-01-01,3.29336
1972-01-01,5.25891
1973-01-01,5.64572
1974-01-01,-0.54055
1975-01-01,-0.20546
1976-01-01,5.38814
1977-01-01,4.62416
1978-01-01,5.53530
1979-01-01,3.16614
1980-01-01,-0.25675
1981-01-01,2.53773
1982-01-01,-1.80289
1983-01-01,4.58392
1984-01-01,7.23663
1985-01-01,4.16965
1986-01-01,3.46265
1987-01-01,3.45926
1988-01-01,4.17706
1989-01-01,3.67265
1990-01-01,1.88596
1991-01-01,-0.10826
1992-01-01,3.52244
1993-01-01,2.75179
1994-01-01,4.02879
1995-01-01,2.68421
1996-01-01,3.77257
1997-01-01,4.44717
1998-01-01,4.48139
1999-01-01,4.79450
2000-01-01,4.07716
2001-01-01,0.95434
2002-01-01,1.69594
2003-01-01,2.79621
2004-01-01,3.85255
2005-01-01,3.48322
2006-01-01,2.78281
2007-01-01,2.01051
2008-01-01,0.12219
2009-01-01,-2.59989
2010-01-01,2.70886
2011-01-01,1.54990
2012-01-01,2.28069
2013-01-01,1.84187
2014-01-01,2.28778
2015-01-01,2.70637
2016-01-01,1.66747
2017-01-01,2.25568
2018-01-01,2.91886
2019-01-01,2.28887
2020-01-01,-3.40459