Alabama            $85,100   $68,600   $67,100   $46,900  $42,400  $27,100  $16,800
Alaska            $144,200  $120,600  $151,000   $87,200  $44,800  $21,100      $NA
Arizona           $121,300  $102,300  $108,500   $62,600  $54,700  $36,000  $14,600
Arkansas           $72,800   $59,200   $61,600   $40,300  $33,000  $24,800  $11,400
California        $211,500  $249,800  $167,300   $88,700  $74,400  $57,900  $36,700
Colorado          $166,600  $105,700  $126,900   $66,400  $60,600  $43,300  $21,800
Connecticut       $166,900  $227,200  $129,900   $97,900  $82,300  $71,900  $48,000
Delaware          $130,400  $127,900   $87,900   $65,700  $61,100  $55,000  $43,300
Dist. of Columbia $157,200  $158,300  $136,200   $81,800  $75,900  $87,800  $78,800
Florida           $105,500   $98,500   $89,300   $57,600  $58,100  $40,100  $23,100
Georgia           $111,200   $91,100   $73,000   $56,100  $46,800  $31,700  $20,400
Hawaii            $272,700  $313,400  $233,800  $134,800 $103,000  $74,400      $NA
Idaho             $106,300   $74,400   $90,300   $54,200  $52,200  $35,500  $16,700
Illinois          $130,800  $103,400  $104,500   $76,000  $72,400  $52,400  $34,100
Indiana            $94,300   $68,900   $73,600   $53,000  $50,300  $37,700  $25,000
Iowa               $82,500   $58,600   $80,400   $53,400  $48,800  $38,300  $23,400
Kansas             $83,500   $66,700   $74,800   $46,500  $45,800  $33,100  $18,000
Kentucky           $86,700   $64,500   $67,700   $48,400  $43,400  $32,000  $21,600
Louisiana          $85,000   $74,700   $85,100   $56,100  $52,700  $31,100  $14,700
Maine              $98,700  $111,700   $75,000   $49,200  $43,400  $29,400  $20,900
Maryland          $146,000  $148,800  $115,400   $71,800  $58,600  $48,700  $31,500
Massachusetts     $185,700  $208,000   $95,800   $79,100  $68,000  $55,400  $39,900
Michigan          $115,600   $77,400   $77,200   $67,200  $59,100  $45,400  $29,800
Minnesota         $122,400   $94,500  $105,100   $69,100  $63,100  $47,300  $31,500
Mississippi        $71,400   $58,300   $62,200   $43,000  $38,900  $25,200  $12,400
Missouri           $89,900   $76,400   $72,600   $55,300  $53,700  $38,800  $24,900
Montana            $99,500   $72,300   $92,000   $53,800  $53,700  $35,100  $17,200
Nebraska           $88,000   $64,400   $75,200   $47,600  $46,300  $35,900  $22,400
Nevada            $142,000  $122,300  $136,000   $86,000  $74,900  $53,700  $20,700
New Hampshire     $133,300  $165,300   $95,000   $63,000  $52,700  $37,600  $26,100
New Jersey        $170,800  $207,400  $119,200   $89,900  $76,900  $63,100  $47,100
New Mexico        $108,100   $89,600   $89,700   $49,900  $52,700  $34,500   $6,800
New York          $148,700  $168,100   $90,300   $86,400  $75,400  $61,500  $45,700
North Carolina    $108,300   $84,100   $71,300   $49,200  $39,400  $29,700  $18,800
North Dakota       $74,400   $64,900   $86,900   $49,900  $48,300  $32,700  $16,900
Ohio              $103,700   $81,100   $88,900   $67,600  $66,000  $50,300  $35,500
Oklahoma           $70,700   $61,500   $70,500   $42,600  $38,900  $31,700  $13,500
Oregon            $152,100   $85,700  $112,600   $59,100  $51,700  $41,500  $24,400
Pennsylvania       $97,000   $89,100   $77,400   $52,200  $50,300  $42,400  $33,400
Rhode Island      $133,000  $170,600   $92,600   $69,900  $60,600  $59,200  $40,000
South Carolina     $94,900   $78,100   $69,500   $49,900  $37,000  $31,000  $22,300
South Dakota       $79,600   $57,700   $72,400   $43,800  $43,400  $32,800  $16,800
Tennessee          $93,000   $74,600   $70,500   $48,000  $40,900  $31,900  $19,000
Texas              $82,500   $76,100   $77,400   $46,100  $43,400  $35,200  $17,600
Utah              $146,100   $88,000  $113,400   $64,500  $62,100  $44,900  $24,100
Vermont           $111,500  $122,000   $83,500   $63,000  $47,800  $38,000  $29,500
Virginia          $125,400  $116,300   $95,000   $65,700  $53,200  $39,900  $27,400
Washington        $168,300  $119,300  $118,600   $71,100  $57,700  $43,400  $24,500
West Virginia      $72,800   $61,200   $76,200   $43,400  $37,400  $33,200  $24,500
Wisconsin         $112,200   $79,900   $96,200   $66,400  $62,100  $48,000  $33,600
Wyoming            $96,600   $78,700  $118,400   $58,800  $60,600  $41,300  $22,600